# ACCEPTED DRIFT — S006 · 2026-09-06
# 126 מעברי «טרם נבדק» ← «הוגש לבדיקה» מגלי סבב 2, 23.8–25.8.
# לכל שורה כאן יש ראיית ביצוע (r2-NNN-items.json, ו-VERIFY/CONFIRM).
# ממתין להכרעת team_00 · DECIDE_S006_TRACKER_DRIFT_2026-09-06_v1
# הקובץ הזה אינו ויתור גורף: הוא מונה כל הפרה בנפרד. כל הפרה חדשה עדיין חוסמת.

סבב-2!R2-001: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-013: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-014: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-015: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-017: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-018: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-019: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-020: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-021: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-023: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-024: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-025: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-026: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-027: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-028: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-029: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-030: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-031: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-032: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-033: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-034: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-035: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-036: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-037: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-038: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-039: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-040: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-041: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-042: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-043: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-044: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-045: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-046: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-047: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-048: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-049: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-050: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-051: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-052: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-053: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-054: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-055: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-056: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-057: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-058: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-059: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-060: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-061: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-062: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-063: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-064: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-065: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-066: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-067: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-068: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-069: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-070: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-071: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-072: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-073: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-074: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-075: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-076: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-077: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-078: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-079: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-080: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-081: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-082: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-083: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-084: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-085: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-086: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-087: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-088: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-089: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-090: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-091: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-092: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-093: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-094: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-095: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-096: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-097: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-098: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-099: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-100: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-101: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-102: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-103: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-104: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-105: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-106: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-107: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-108: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-109: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-110: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-111: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-112: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-113: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-114: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-115: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-116: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-117: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-118: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-119: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-120: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-121: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-122: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-123: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-124: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-125: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-126: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-127: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-128: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
סבב-2!R2-129: מעבר סטטוס אסור «טרם נבדק» ← «הוגש לבדיקה». מותר מ«טרם נבדק»: ['בעבודה', 'הוקפא', 'טרם נבדק']
