מזהה,שם_עמוד,נתיב,סוג,גל,פעולה
R2-028,את הספר החדש שלי לא תמצאו ברשתות הספרים. למה?,/%d7%90%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%9c%d7%90-%d7%aa%d7%9e%d7%a6%d7%90%d7%95-%d7%91%d7%a8%d7%a9%d7%aa%d7%95%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8%d7%99%d7%9d/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-029,ביקורות גולשים אודות: עכשיו!!!!! – מופע הסיפורים של אייל עמית – תופעת יחיד,/%d7%91%d7%99%d7%a7%d7%95%d7%a8%d7%95%d7%aa-%d7%92%d7%95%d7%9c%d7%a9%d7%99%d7%9d-%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-030,נשימה מעגלית – סטודיו דיג'רידו לנגינה ובנייה בפרדס חנה – אייל עמית. פוסט מ 2012,/%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a4%d7%a8%d7%93%d7%a1-%d7%97%d7%a0%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%99%d7%95-%d7%9c%d7%91%d7%a0%d7%99%d7%99%d7%94-%d7%95%d7%a0%d7%92%d7%99%d7%a0/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-031,"דף פייסבוק חדש למופע + הזמנה לשני המופעים הקרובים בת""א ובפרדס חנה",/%d7%93%d7%a3-%d7%a4%d7%99%d7%99%d7%a1%d7%91%d7%95%d7%a7-%d7%97%d7%93%d7%a9-%d7%9c%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%a9%d7%a0%d7%99-%d7%94%d7%9e%d7%95%d7%a4%d7%a2%d7%99/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-032,"הזמנה להשקת הספר החדש – ""וכתבתָ"" / אייל עמית 15.6.17 בפרדס חנה",/%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%94%d7%a9%d7%a7%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%95%d7%9b%d7%aa%d7%91%d7%aa%d6%b8-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-033,אקדח לתוך הראש,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%90%d7%99%d7%9a-%d7%94%d7%aa%d7%97%d7%9c%d7%aa%d7%99-%d7%9c%d7%9b%d7%aa%d7%95%d7%91-%d7%95%d7%9c%d7%a1%d7%a4/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-034,הספר החדש שלי יוצא לאור!!!! אשמח לתמיכתכם ב-הדסטארט!,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%96%d7%a7%d7%95%d7%a7-%d7%9c/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-035,(24) הטור של אייל עמית: ילד אסור ילד מותר,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-24-%d7%99%d7%9c%d7%93-%d7%90%d7%a1%d7%95%d7%a8-%d7%99%d7%9c%d7%93-%d7%9e%d7%95%d7%aa%d7%a8/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-036,וסיפרתָּ – מופע פרידה!!! 14.10.17 מועדון היוניקורן פרדס חנה | מופע הספוקן סטוריז של אייל עמית,/%d7%95%d7%a1%d7%99%d7%a4%d7%a8%d7%aa%d6%b8%d6%bc-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%a4%d7%95%d7%a7%d7%9f-%d7%a1%d7%98%d7%95%d7%a8%d7%99%d7%96-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-037,טיפול בנשימה באמצעות דיג'רידו – ללמוד לנשום נכון ביומיום וגם בלילה,/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%9c%d7%9c%d7%9e%d7%95%d7%93-%d7%9c/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-038,טיפול בפוסט טראומה לחייל משוחרר מגולני באמצעות נשימה בדיג'רידו – המרכז לטיפול בדיג'רידו / אייל עמית,/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a4%d7%95%d7%a1%d7%98-%d7%98%d7%a8%d7%90%d7%95%d7%9e%d7%94-%d7%9c%d7%97%d7%99%d7%99%d7%9c-%d7%9e%d7%a9%d7%95%d7%97%d7%a8%d7%a8-%d7%9e%d7%92%d7%95%d7%9c%d7%a0/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-039,שליחות חיי – כתבה אודות המרכז לטיפול בדיג'רידו פרדס חנה – אייל עמית,/%d7%9b%d7%aa%d7%91%d7%94-%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%9e%d7%95%d7%a8%d7%94-%d7%95%d7%9e%d7%98%d7%a4%d7%9c-%d7%91%d7%93%d7%99%d7%92%d7%a8%d7%99/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-040,"כתבה על ""תופעת יחיד"" ב- המקומון גבעתיים רמת גן, 22.10.15, מני פרסול",/%d7%9b%d7%aa%d7%91%d7%94-%d7%a2%d7%9c-%d7%aa%d7%95%d7%a4%d7%a2%d7%aa-%d7%99%d7%97%d7%99%d7%93-%d7%91-%d7%94%d7%9e%d7%a7%d7%95%d7%9e%d7%95%d7%9f-%d7%92%d7%91%d7%a2%d7%aa%d7%99%d7%99%d7%9d-%d7%a8/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-041,"שם חדש למופע הסיפורים: ""עכשיו!!!!!""  קבלו את שלושת הקליפים הרישמיים עם ה-""עכשווים"" שלכם!",/%d7%9c%d7%90-%d7%91%d7%a2%d7%95%d7%93-%d7%a8%d7%92%d7%a2-%d7%9c%d7%90-%d7%91%d7%a2%d7%95%d7%93-%d7%a9%d7%a0%d7%99%d7%99%d7%94-%d7%a2-%d7%9b-%d7%a9-%d7%99-%d7%95/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-042,מופע הסיפורים של אייל עמית / כתבה מאת רואי פרסול – מעריב תרבות 21.7.15,/%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%9b%d7%aa%d7%91%d7%94-%d7%9e%d7%90%d7%aa-%d7%a8%d7%95/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-043,מופע הסיפורים של אייל עמית מגיע לתיאטרון הקאמרי!,/%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%a9%d7%99%d7%a9%d7%99-23-10-15-%d7%91%d7%aa%d7%99%d7%90/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-044,מוקש דהימן – מאסטר דיג'רידו – ציור מקורי חדש במרכז לטיפול בדיג'רידו (שמן על קנבס),/%d7%9e%d7%95%d7%a7%d7%a9-%d7%93%d7%94%d7%99%d7%9e%d7%9f-%d7%9e%d7%90%d7%a1%d7%98%d7%a8-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a6%d7%99%d7%95%d7%a8-%d7%9e%d7%a7%d7%95%d7%a8%d7%99-%d7%97/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-045,"פוסט תודה למורי, לתלמידי, למטופלי, ויותר מכל לתסריטאי המופרע שיושב לו שם למעלה",/%d7%9e%d7%95%d7%a8%d7%94-%d7%9c%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%9e%d7%95%d7%93%d7%94-%d7%9c%d7%9e%d7%95%d7%a8%d7%99%d7%95-%d7%aa%d7%9c%d7%9e%d7%99%d7%93%d7%99%d7%95-%d7%95%d7%9e%d7%98/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-046,האם לנשים מותר לנגן בדיג'רידו? פוסט מיוחד לסילוק דעות קדומות והחשש מעקרות,/%d7%a0%d7%a9%d7%99%d7%9d-%d7%9e%d7%a0%d7%92%d7%a0%d7%95%d7%aa-%d7%91%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%90%d7%99%d7%a9%d7%94-%d7%9e%d7%a0%d7%92%d7%a0%d7%aa-%d7%91%d7%93%d7%99%d7%92/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-047,נגינה ונשימה מעגלית בדיג'רידו – ריפוי הנשימה והנשמה,/%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%9e%d7%a2%d7%92%d7%9c%d7%99%d7%aa-%d7%91%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%a8%d7%99%d7%a4%d7%95%d7%99-%d7%a2%d7%a6/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-048,סדנת דיג'רידו קבוצתית מקיפה וייחודית לנשימה מעגלית בדיג'רידו (רמת מתחילים),/%d7%a1%d7%93%d7%a0%d7%aa-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a7%d7%91%d7%95%d7%a6%d7%aa%d7%99%d7%aa-%d7%9e%d7%a7%d7%99%d7%a4%d7%94-%d7%95%d7%99%d7%99%d7%97%d7%95%d7%93%d7%99%d7%aa-%d7%9c/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-049,"הזמנה לסדרת מפגשים אינטימיים חדשה! ""סיפורים מהנייר"" עם אייל עמית",/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%94%d7%a0%d7%99%d7%99%d7%a8-%d7%a2%d7%9d-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-050,"סרטים מהחיים – מופע הסיפורים של אייל עמית: שני תאריכים קרובים: 5.4.14 תיאטרון הידית פרדס חנה, 10.4.14 צוותא2 ת""א.",/%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%9e%d7%94%d7%97%d7%99%d7%99%d7%9d-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-051,עוד רגע מחייו של מורה לנשימה נכונה ומלווה תהליכי ריפוי באמצעות דיג'רידו,/%d7%a2%d7%95%d7%93-%d7%a8%d7%92%d7%a2-%d7%9e%d7%97%d7%99%d7%99%d7%95-%d7%a9%d7%9c-%d7%9e%d7%95%d7%a8%d7%94-%d7%9c%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-052,"""פרדס חפלה"" – הסיפור החדש במופע הקרוב 13.9.14 בפרדס חנה",/%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%94%d7%95%d7%a4%d7%a2%d7%94-%d7%91%d7%9e%d7%95%d7%a6%d7%a9-%d7%94%d7%a7%d7%a8%d7%95%d7%91-13-9-14-%d7%91%d7%a4%d7%a8%d7%93%d7%a1-%d7%97%d7%a0%d7%94/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-053,"שמרו התאריכים! תופעת יחיד: 11/11/16 פסטיבל נאטראז', 22/12/16 בית ציוני אמריקה, 29/12/16 תיאטרון הידית",/%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%aa%d7%95%d7%a4%d7%a2/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-054,עכשיו!!!! מופע הסיפורים של אייל עמית – 15.11.14 בתיאטרון הידית פרדס חנה,/%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-15-11-14-%d7%91%d7%aa/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-055,הופעת בכורה בתל אביב!!! 3/12/13  'סרטים מהחיים' – מופע הסיפורים של אייל עמית,/%d7%a2%d7%9e%d7%99%d7%aa-%d7%91%d7%99%d6%b8%d7%93%d6%b4%d7%99%d7%aa-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-056,"צלילים מרפאים, תדרים מרפאים, סאונד הילינג דיג'רידו – אייל עמית",/%d7%a4%d7%95%d7%93%d7%a7%d7%90%d7%a1%d7%98-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%95-%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-2/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-057,"ראיון מלא (90 דקות) בפודקאסט של נווית צוף שטראוס בנושא הנשימה, דיג'רידו והעשייה הייחודית שלי במרכז לטיפול בנשימה באמצעות דיג'רידו",/%d7%a4%d7%95%d7%93%d7%a7%d7%90%d7%a1%d7%98-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%95-%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-058,"הכל אודות ריברסינג, נשימה מעגלית ו- דיג'רידו. האם נשימה מעגלית בדיג'רידו היא אותה נשימה מעגלית משיטת הטיפול ריברסינג? התשובה היא לא. הנה ההסבר המלא:",/%d7%a8%d7%99%d7%91%d7%a8%d7%a1%d7%99%d7%a0%d7%92-%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%9e%d7%a2%d7%92%d7%9c%d7%99%d7%aa-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-059,"""שנה לחוק הספרים: צניחה של 35% במכירות של ספרים חדשים – ועלייה חדה במחירים"" | צרכנות דה-מרקר",/%d7%a9%d7%a0%d7%94-%d7%9c%d7%97%d7%95%d7%a7-%d7%94%d7%a1%d7%a4%d7%a8%d7%99%d7%9d-%d7%a6%d7%a0%d7%99%d7%97%d7%94-%d7%a9%d7%9c-35-%d7%91%d7%9e%d7%9b%d7%99%d7%a8%d7%95%d7%aa-%d7%a9%d7%9c-%d7%a1%d7%a4/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-060,"מה חושבים על המופע ""תופעת יחיד"" של אייל עמית: אלון נוימן, שי אביבי, מיכל ליבדינסקי, אברהם טל, ערן שטרן ועוד..",/%d7%a9%d7%a0%d7%99-%d7%aa%d7%90%d7%a8%d7%99%d7%9b%d7%99%d7%9d-%d7%a7%d7%a8%d7%95%d7%91%d7%99%d7%9d-%d7%9c%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-061,תלמידים ומטופלים ממליצים על המרכז לטיפול בדיג'רידו – אייל עמית,/%d7%aa%d7%9c%d7%9e%d7%99%d7%93%d7%99%d7%9d-%d7%95%d7%9e%d7%98%d7%95%d7%a4%d7%9c%d7%99%d7%9d-%d7%9e%d7%9e%d7%9c%d7%99%d7%a6%d7%99%d7%9d-%d7%a2%d7%9c-%d7%94%d7%9e%d7%a8%d7%9b%d7%96-%d7%9c%d7%98%d7%99/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-062,100% !!!!!!! 100%  !!!!!!!! 100%  !!!!!!!!  תודה  !!!!!!!!!,/100-100-100-%d7%aa%d7%95%d7%93%d7%94/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-063,(18) הטור של אייל עמית: מסך הברזל,/18-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%9e%d7%a1%d7%9a-%d7%94%d7%91%d7%a8%d7%96%d7%9c/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-064,2.8 תופעת יחיד בצוותא – 50% מהמקומות באולם חינם לתושבי הדרום!,/2-8-%d7%9e%d7%95%d7%a4%d7%a2-%d7%91%d7%a6%d7%95%d7%95%d7%aa%d7%90-20-%d7%9e%d7%94%d7%9e%d7%a7%d7%95%d7%9e%d7%95%d7%aa-%d7%91%d7%90%d7%95%d7%9c%d7%9d-%d7%97%d7%99%d7%a0%d7%9d-%d7%9c%d7%aa%d7%95%d7%a9/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-065,מופע הסיפורים של אייל עמית – תופעת יחיד | כתבה מאת שי מרקוביץ / ידיעות השרון,/2228-2/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-066,(23) הטור של אייל עמית: לציית או לחשוב,/23-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%9c%d7%a6%d7%99%d7%99%d7%aa-%d7%90%d7%95-%d7%9c%d7%97%d7%a9%d7%95%d7%91/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-067,(27) הטור של אייל עמית: חכמת הפרצוף,/27-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%97%d7%9b%d7%9e%d7%aa-%d7%94%d7%a4%d7%a8%d7%a6%d7%95%d7%a3/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-068,(29) הטור של אייל עמית: רייב שבוע הספר,/29-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%a8%d7%99%d7%99%d7%91-%d7%a9%d7%91%d7%95%d7%a2-%d7%94%d7%a1%d7%a4%d7%a8/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-069,(32) הטור של אייל עמית: אם אין אני לי – מי לי,/32-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%90%d7%9d-%d7%90%d7%99%d7%9f-%d7%90%d7%a0%d7%99-%d7%9c%d7%99-%d7%9e%d7%99-%d7%9c%d7%99/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-070,(34) הטור של אייל עמית: הלב,/34-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%94%d7%9c%d7%91/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-071,(36) הטור של אייל עמית: שיטת השקשוקה,/36-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%a9%d7%99%d7%98%d7%aa-%d7%94%d7%a9%d7%a7%d7%a9%d7%95%d7%a7%d7%94/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-072,(40) הטור של אייל עמית: פרסומת אחת וחזרנו,/40-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%a4%d7%a8%d7%a1%d7%95%d7%9e%d7%aa-%d7%90%d7%97%d7%aa-%d7%95%d7%97%d7%96%d7%a8%d7%a0%d7%95/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-073,(41) הטור של אייל עמית: חארטה בארטה,/41-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%97%d7%90%d7%a8%d7%98%d7%94-%d7%91%d7%90%d7%a8%d7%98%d7%94/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-074,(42) הטור של אייל עמית: אחד בספטמבר,/42-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%90%d7%97%d7%93-%d7%91%d7%a1%d7%a4%d7%98%d7%9e%d7%91%d7%a8/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
R2-075,(43) הטור של אייל עמית: אדון סליחות,/43-%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%90%d7%93%d7%95%d7%9f-%d7%a1%d7%9c%d7%99%d7%97%d7%95%d7%aa/,פוסט,W3,"הצגה כמו שחי/ישן, בלי ניסוח"
