מזהה,שם_עמוד,נתיב,נתיב_decoded,סוג,HTTP_ראשון,HTTP_סופי,נתיב_סופי,URL_סופי,חבילה_דרייב,חפיפה_סבב1,דלי_מוצע,נימוק
R2-011,וכתבת,/muzeh/vekatavt/,/muzeh/vekatavt/,legacy/301,301,200,/books/vekatavta/,http://eyalamit-co-il-2026.s887.upress.link/books/vekatavta/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
R2-012,מוזה הוצאה לאור,/muzza/,/muzza/,legacy/301,301,200,/books/,http://eyalamit-co-il-2026.s887.upress.link/books/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
R2-013,צבע בכחול וזרוק לים,/muzza/tsva-bechol-ve-zorek-layam/,/muzza/tsva-bechol-ve-zorek-layam/,legacy/301,301,200,/books/tsva-bekahol/,http://eyalamit-co-il-2026.s887.upress.link/books/tsva-bekahol/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
R2-014,וכתבת,/muzza/vekatavt/,/muzza/vekatavt/,legacy/301,301,200,/books/vekatavta/,http://eyalamit-co-il-2026.s887.upress.link/books/vekatavta/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
R2-015,עיתונות,/press/,/press/,עמוד,200,200,/press/,http://eyalamit-co-il-2026.s887.upress.link/press/,אין,,הקפאה,אין תיקייה ב-content 13.8.26 ואין קובץ סקירה. בלי מקור לא מדביקים.
R2-016,מדיניות פרטיות,/privacy/,/privacy/,עמוד,200,200,/privacy/,http://eyalamit-co-il-2026.s887.upress.link/privacy/,אין,,הקפאה,אין תיקייה ב-content 13.8.26 ואין קובץ סקירה. בלי מקור לא מדביקים.
R2-017,שירותים,/services/,/services/,עמוד,200,200,/services/,http://eyalamit-co-il-2026.s887.upress.link/services/,אין,,הקפאה,אין תיקייה ב-content 13.8.26 ואין קובץ סקירה. בלי מקור לא מדביקים.
R2-018,שיעורי דיג'רידו / נגינה,/services/didgeridoo-lessons/,/services/didgeridoo-lessons/,legacy/301,301,200,/lessons/,http://eyalamit-co-il-2026.s887.upress.link/lessons/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
R2-019,טיפול בדיג'רידו / נשימה,/services/didgeridoo-treatment-breath/,/services/didgeridoo-treatment-breath/,legacy/301,301,200,/treatment/,http://eyalamit-co-il-2026.s887.upress.link/treatment/,אין,יעד 301 הוא עמוד שהוגש בסבב 1,ברור,הטרקר מגדיר פעולה אחת: אימות יעד 301 בלי עריכת תוכן. החי מפנה לעמוד שהוגש בסבב 1.
R2-020,כלים בעבודת יד ואביזרים,/services/handmade-instruments/,/services/handmade-instruments/,legacy/301,301,200,/tools-and-accessories/instruments/,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/instruments/,אין,,נימרוד,"ה-301 חי, אך היעד אינו עמוד שהוגש בסבב 1 — צריך הכרעה אם זה מספיק."
R2-021,הופעות / מורשת מופע,/shows-heritage/,/shows-heritage/,עמוד,200,200,/shows-heritage/,http://eyalamit-co-il-2026.s887.upress.link/shows-heritage/,אין,,הקפאה,אין תיקייה ב-content 13.8.26 ואין קובץ סקירה. בלי מקור לא מדביקים.
R2-022,תקנון,/terms/,/terms/,עמוד,200,200,/terms/,http://eyalamit-co-il-2026.s887.upress.link/terms/,אין,,הקפאה,אין תיקייה ב-content 13.8.26 ואין קובץ סקירה. בלי מקור לא מדביקים.
R2-023,תודה,/thank-you/,/thank-you/,עמוד,200,200,/thank-you/,http://eyalamit-co-il-2026.s887.upress.link/thank-you/,אין,,הקפאה,אין תיקייה ב-content 13.8.26 ואין קובץ סקירה. בלי מקור לא מדביקים.
R2-024,כלים ואביזרים,/tools-and-accessories/,/tools-and-accessories/,עמוד,200,200,/tools-and-accessories/,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/,אין,כפילות אפשרית מול חנות / כלים / תיקון בסבב 1,נימרוד,אין חבילת סבב 2; חפיפה אפשרית לחנות/תיקון שכבר הוגשו.
R2-025,כלים בעבודת יד ואביזרים,/tools-and-accessories/instruments/,/tools-and-accessories/instruments/,עמוד,200,200,/tools-and-accessories/instruments/,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/instruments/,אין,כפילות אפשרית מול חנות / כלים / תיקון בסבב 1,נימרוד,אין חבילת סבב 2; חפיפה אפשרית לחנות/תיקון שכבר הוגשו.
R2-026,תיקון וחידוש כלים,/tools-and-accessories/repair/,/tools-and-accessories/repair/,עמוד,200,200,/tools-and-accessories/repair/,http://eyalamit-co-il-2026.s887.upress.link/tools-and-accessories/repair/,אין,כפילות אפשרית מול חנות / כלים / תיקון בסבב 1,נימרוד,אין חבילת סבב 2; חפיפה אפשרית לחנות/תיקון שכבר הוגשו.
R2-027,"מופע ""ספיישל ברצלונה""! 29.12.16 תיאטרון הידית פרדס חנה / אייל עמית – תופעת יחיד – מופע סיפורים – spoken stories",/%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%aa%d7%95%d7%a4%d7%a2%d7%aa-%d7%99%d7%97%d7%99%d7%93-%d7%9e%d7%95%d7%a4%d7%a2-%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-spoken-stories-15/,/אייל-עמית-תופעת-יחיד-מופע-סיפורים-spoken-stories-15/,פוסט,200,200,/%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%aa%d7%95%d7%a4%d7%a2%d7%aa-%d7%99%d7%97%d7%99%d7%93-%d7%9e%d7%95%d7%a4%d7%a2-%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-spoken-stories-15/,http://eyalamit-co-il-2026.s887.upress.link/%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%aa%d7%95%d7%a4%d7%a2%d7%aa-%d7%99%d7%97%d7%99%d7%93-%d7%9e%d7%95%d7%a4%d7%a2-%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-spoken-stories-15/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-028,את הספר החדש שלי לא תמצאו ברשתות הספרים. למה?,/%d7%90%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%9c%d7%90-%d7%aa%d7%9e%d7%a6%d7%90%d7%95-%d7%91%d7%a8%d7%a9%d7%aa%d7%95%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8%d7%99%d7%9d/,/את-הספר-החדש-שלי-לא-תמצאו-ברשתות-הספרים/,פוסט,200,200,/%d7%90%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%9c%d7%90-%d7%aa%d7%9e%d7%a6%d7%90%d7%95-%d7%91%d7%a8%d7%a9%d7%aa%d7%95%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8%d7%99%d7%9d/,http://eyalamit-co-il-2026.s887.upress.link/%d7%90%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%9c%d7%90-%d7%aa%d7%9e%d7%a6%d7%90%d7%95-%d7%91%d7%a8%d7%a9%d7%aa%d7%95%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8%d7%99%d7%9d/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-029,ביקורות גולשים אודות: עכשיו!!!!! – מופע הסיפורים של אייל עמית – תופעת יחיד,/%d7%91%d7%99%d7%a7%d7%95%d7%a8%d7%95%d7%aa-%d7%92%d7%95%d7%9c%d7%a9%d7%99%d7%9d-%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4/,/ביקורות-גולשים-אודות-עכשיו-מופע-הסיפ/,פוסט,200,200,/%d7%91%d7%99%d7%a7%d7%95%d7%a8%d7%95%d7%aa-%d7%92%d7%95%d7%9c%d7%a9%d7%99%d7%9d-%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4/,http://eyalamit-co-il-2026.s887.upress.link/%d7%91%d7%99%d7%a7%d7%95%d7%a8%d7%95%d7%aa-%d7%92%d7%95%d7%9c%d7%a9%d7%99%d7%9d-%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-030,נשימה מעגלית – סטודיו דיג'רידו לנגינה ובנייה בפרדס חנה – אייל עמית. פוסט מ 2012,/%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a4%d7%a8%d7%93%d7%a1-%d7%97%d7%a0%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%99%d7%95-%d7%9c%d7%91%d7%a0%d7%99%d7%99%d7%94-%d7%95%d7%a0%d7%92%d7%99%d7%a0/,/דיגרידו-פרדס-חנה-סטודיו-לבנייה-ונגינ/,פוסט,200,200,/%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a4%d7%a8%d7%93%d7%a1-%d7%97%d7%a0%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%99%d7%95-%d7%9c%d7%91%d7%a0%d7%99%d7%99%d7%94-%d7%95%d7%a0%d7%92%d7%99%d7%a0/,http://eyalamit-co-il-2026.s887.upress.link/%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a4%d7%a8%d7%93%d7%a1-%d7%97%d7%a0%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%99%d7%95-%d7%9c%d7%91%d7%a0%d7%99%d7%99%d7%94-%d7%95%d7%a0%d7%92%d7%99%d7%a0/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-031,"דף פייסבוק חדש למופע + הזמנה לשני המופעים הקרובים בת""א ובפרדס חנה",/%d7%93%d7%a3-%d7%a4%d7%99%d7%99%d7%a1%d7%91%d7%95%d7%a7-%d7%97%d7%93%d7%a9-%d7%9c%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%a9%d7%a0%d7%99-%d7%94%d7%9e%d7%95%d7%a4%d7%a2%d7%99/,/דף-פייסבוק-חדש-למופע-הזמנה-לשני-המופעי/,פוסט,200,200,/%d7%93%d7%a3-%d7%a4%d7%99%d7%99%d7%a1%d7%91%d7%95%d7%a7-%d7%97%d7%93%d7%a9-%d7%9c%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%a9%d7%a0%d7%99-%d7%94%d7%9e%d7%95%d7%a4%d7%a2%d7%99/,http://eyalamit-co-il-2026.s887.upress.link/%d7%93%d7%a3-%d7%a4%d7%99%d7%99%d7%a1%d7%91%d7%95%d7%a7-%d7%97%d7%93%d7%a9-%d7%9c%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%a9%d7%a0%d7%99-%d7%94%d7%9e%d7%95%d7%a4%d7%a2%d7%99/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-032,"הזמנה להשקת הספר החדש – ""וכתבתָ"" / אייל עמית 15.6.17 בפרדס חנה",/%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%94%d7%a9%d7%a7%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%95%d7%9b%d7%aa%d7%91%d7%aa%d6%b8-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,/הזמנה-להשקת-הספר-החדש-וכתבתָ-אייל-עמ/,פוסט,200,200,/%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%94%d7%a9%d7%a7%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%95%d7%9b%d7%aa%d7%91%d7%aa%d6%b8-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,http://eyalamit-co-il-2026.s887.upress.link/%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%94%d7%a9%d7%a7%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%95%d7%9b%d7%aa%d7%91%d7%aa%d6%b8-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-033,אקדח לתוך הראש,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%90%d7%99%d7%9a-%d7%94%d7%aa%d7%97%d7%9c%d7%aa%d7%99-%d7%9c%d7%9b%d7%aa%d7%95%d7%91-%d7%95%d7%9c%d7%a1%d7%a4/,/הטור-של-אייל-עמית-איך-התחלתי-לכתוב-ולספ/,פוסט,200,200,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%90%d7%99%d7%9a-%d7%94%d7%aa%d7%97%d7%9c%d7%aa%d7%99-%d7%9c%d7%9b%d7%aa%d7%95%d7%91-%d7%95%d7%9c%d7%a1%d7%a4/,http://eyalamit-co-il-2026.s887.upress.link/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%90%d7%99%d7%9a-%d7%94%d7%aa%d7%97%d7%9c%d7%aa%d7%99-%d7%9c%d7%9b%d7%aa%d7%95%d7%91-%d7%95%d7%9c%d7%a1%d7%a4/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-034,הספר החדש שלי יוצא לאור!!!! אשמח לתמיכתכם ב-הדסטארט!,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%96%d7%a7%d7%95%d7%a7-%d7%9c/,/הטור-של-אייל-עמית-הספר-החדש-שלי-זקוק-ל/,פוסט,200,200,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%96%d7%a7%d7%95%d7%a7-%d7%9c/,http://eyalamit-co-il-2026.s887.upress.link/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%96%d7%a7%d7%95%d7%a7-%d7%9c/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-035,(24) הטור של אייל עמית: ילד אסור ילד מותר,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-24-%d7%99%d7%9c%d7%93-%d7%90%d7%a1%d7%95%d7%a8-%d7%99%d7%9c%d7%93-%d7%9e%d7%95%d7%aa%d7%a8/,/הטור-של-אייל-עמית-24-ילד-אסור-ילד-מותר/,פוסט,200,200,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-24-%d7%99%d7%9c%d7%93-%d7%90%d7%a1%d7%95%d7%a8-%d7%99%d7%9c%d7%93-%d7%9e%d7%95%d7%aa%d7%a8/,http://eyalamit-co-il-2026.s887.upress.link/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-24-%d7%99%d7%9c%d7%93-%d7%90%d7%a1%d7%95%d7%a8-%d7%99%d7%9c%d7%93-%d7%9e%d7%95%d7%aa%d7%a8/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-036,וסיפרתָּ – מופע פרידה!!! 14.10.17 מועדון היוניקורן פרדס חנה | מופע הספוקן סטוריז של אייל עמית,/%d7%95%d7%a1%d7%99%d7%a4%d7%a8%d7%aa%d6%b8%d6%bc-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%a4%d7%95%d7%a7%d7%9f-%d7%a1%d7%98%d7%95%d7%a8%d7%99%d7%96-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,/וסיפרתָּ-מופע-הספוקן-סטוריז-של-אייל-עמ/,פוסט,200,200,/%d7%95%d7%a1%d7%99%d7%a4%d7%a8%d7%aa%d6%b8%d6%bc-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%a4%d7%95%d7%a7%d7%9f-%d7%a1%d7%98%d7%95%d7%a8%d7%99%d7%96-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,http://eyalamit-co-il-2026.s887.upress.link/%d7%95%d7%a1%d7%99%d7%a4%d7%a8%d7%aa%d6%b8%d6%bc-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%a4%d7%95%d7%a7%d7%9f-%d7%a1%d7%98%d7%95%d7%a8%d7%99%d7%96-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-037,טיפול בנשימה באמצעות דיג'רידו – ללמוד לנשום נכון ביומיום וגם בלילה,/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%9c%d7%9c%d7%9e%d7%95%d7%93-%d7%9c/,/טיפול-בנשימה-באמצעות-דיגרידו-ללמוד-ל/,פוסט,200,200,/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%9c%d7%9c%d7%9e%d7%95%d7%93-%d7%9c/,http://eyalamit-co-il-2026.s887.upress.link/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%9c%d7%9c%d7%9e%d7%95%d7%93-%d7%9c/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
R2-038,טיפול בפוסט טראומה לחייל משוחרר מגולני באמצעות נשימה בדיג'רידו – המרכז לטיפול בדיג'רידו / אייל עמית,/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a4%d7%95%d7%a1%d7%98-%d7%98%d7%a8%d7%90%d7%95%d7%9e%d7%94-%d7%9c%d7%97%d7%99%d7%99%d7%9c-%d7%9e%d7%a9%d7%95%d7%97%d7%a8%d7%a8-%d7%9e%d7%92%d7%95%d7%9c%d7%a0/,/טיפול-בפוסט-טראומה-לחייל-משוחרר-מגולנ/,פוסט,200,200,/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a4%d7%95%d7%a1%d7%98-%d7%98%d7%a8%d7%90%d7%95%d7%9e%d7%94-%d7%9c%d7%97%d7%99%d7%99%d7%9c-%d7%9e%d7%a9%d7%95%d7%97%d7%a8%d7%a8-%d7%9e%d7%92%d7%95%d7%9c%d7%a0/,http://eyalamit-co-il-2026.s887.upress.link/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a4%d7%95%d7%a1%d7%98-%d7%98%d7%a8%d7%90%d7%95%d7%9e%d7%94-%d7%9c%d7%97%d7%99%d7%99%d7%9c-%d7%9e%d7%a9%d7%95%d7%97%d7%a8%d7%a8-%d7%9e%d7%92%d7%95%d7%9c%d7%a0/,אין,ארכיון הבלוג מוקפא בסבב 1; הפוסטים עצמם סבב 2,הקפאה,אין חבילה ואין סקירה. החי נשאר ארכיון עד הכרעה. לא 54 שאלות לאייל.
