__sheet__,#,סטטוס מכונה,סטטוס אישור,ממתין ל,נתיב,כותרת,סוג,קובץ תוכן,מקור חומר (אייל),WP קשור,תאריך עבודה אחרון,ראיות QA,הערות סוכן,הערות נימרוד,הערות אייל,תאריך אישור
סבב-1-ליבה,R1-13,טרם נבדק,—,team_100,/bags/,תיקים לדיג'רידו,עמוד,bags-defaults.php,תיקים לדיג'רידו,"WP-EI-01, WP-EI-02 (ON_HOLD)",,,,,,
סבב-1-ליבה,R1-14,טרם נבדק,—,team_100,/stands-storage/,סטנדים לאחסון דיג'רידו,עמוד,stands-storage-defaults.php,סטנדים לדיג'רידו לאחסון,"WP-EI-01, WP-EI-02 (ON_HOLD)",,,,,,
סבב-1-ליבה,R1-15,טרם נבדק,—,team_100,/stand-floor/,סטנד רצפתי לנגינה בישיבה נמוכה,עמוד,stand-floor-defaults.php,סטנד רצפתי לנגינה בישיבה נמוכה,"WP-EI-01, WP-EI-02 (ON_HOLD)",,,,,,
סבב-1-ליבה,R1-16,טרם נבדק,—,team_100,/books/,ספרים,עמוד,muzza-defaults.php,מוזה הוצאה לאור - ספרים,"WP-EI-01, WP-EI-02 (ON_HOLD)",,,,,,
סבב-1-ליבה,R1-17,טרם נבדק,—,team_100,/books/kushi-blantis/,כושי בלאנטיס,עמוד,kushi-blantis-defaults.php,כושי בלאנטיס,"WP-EI-01, WP-EI-02 (ON_HOLD)",,,,,,
סבב-1-ליבה,R1-18,טרם נבדק,—,team_100,/books/tsva-bekahol/,צבע בכחול וזרוק לים,עמוד,tsva-bekahol-defaults.php,צבע בכחול וזרוק לים,"WP-EI-01, WP-EI-02 (ON_HOLD)",,,,,,
סבב-1-ליבה,R1-19,טרם נבדק,—,team_100,/books/vekatavta/,וכתבת,עמוד,vekatavta-defaults.php,וכתבת,"WP-EI-01, WP-EI-02 (ON_HOLD)",,,,,,
סבב-1-ליבה,R1-20,טרם נבדק,—,team_100,/blog/,בלוג,עמוד,tpl-blog-archive.php (תבנית),,,,,,,,
סבב-1-ליבה,R1-21,טרם נבדק,—,team_100,/eyal-amit/,אייל עמית,עמוד,about-defaults.php,אודות - אייל עמית,S002-P001-WP001 (ON_HOLD),,,,,,
סבב-1-ליבה,R1-22,טרם נבדק,—,team_100,/eyal-amit/mokesh-dahiman/,מוקש דהימן — לזכרו,עמוד,mokesh-defaults.php,מוקש - דף הנחצחה לזרכו ופועלו,WP-EI-04 (ON_HOLD),,,,,,
סבב-1-ליבה,R1-23,טרם נבדק,—,team_100,/contact/,צור קשר,עמוד,contact-defaults.php,,,,,,,,
סבב-1-ליבה,R1-24,טרם נבדק,—,team_100,/en/,English,עמוד,en-defaults.php,,WP-EI-06 (ON_HOLD),,,,,,
סבב-1-ליבה,R1-25,טרם נבדק,—,team_100,/faq/,שאלות נפוצות (FAQ),עמוד,faq-defaults.php,דף FAQ,,,,,,,
סבב-1-ליבה,R1-26,הוגש לבדיקה,—,אייל,/testimonials/,המלצות — קטלוג מרכזי (ומדיה),עמוד,media-defaults.php,"ריכוז כל ההמלצות - טיפול בדיג'רידו, שיעורי נגינה, סאונדהילינג,",WP-EI-07 (ON_HOLD),2026-08-17,VERDICT PASS חוצה-מנועים — team_90 (Composer/cursor) ≠ בנאי (Claude). 3 ליינים: תוכן 48 ב-17/9/22 · 301 בקפיצה אחת + CTA · רגרסיה 13/8/9/15. אפס קישורים שנותרו ל-/media/. artifact: _COMMUNICATION/team_90/VERDICT-R1-26-TESTIMONIALS-2026-08-17.md,העדויות נבנו (H-15). עדיין פתוח: ה-slug «media» סותר את כותרת העמוד; וידאו/הקלטות/כתבות עדיין placeholder לגיטימי. שני פגמי נתונים בקורפוס — ראו CODE-BLOCKED-REGISTER C-08.,,,
סבב-1-ליבה,R1-27,טרם נבדק,—,team_100,/galleries/,גלריות — קטלוג מרכזי,עמוד,galleries-defaults.php,,,,,,,,
סבב-1-ליבה,R1-28,טרם נבדק,—,team_100,/snoring-sleep-apnea/,"דיג׳רידו, נחירות ודום נשימה בשינה",עמוד,snoring-sleep-apnea-defaults.php,נחירות ודום נשימה,WP-EI-03 (ON_HOLD),,,,,,
סבב-1-ליבה,R1-29,טרם נבדק,—,team_100,(תפריט) קורסים,קורסים — סקולר / חיצוני,קישור חיצוני,פריט תפריט בלבד,,,,,מצביע כרגע ל-# בתפריט החי — נדרשת החלטה על היעד,,,
סבב-2,R2-001,טרם נבדק,—,team_100,/about/,אודות אייל עמית,עמוד,,,,,,,,,
סבב-2,R2-002,טרם נבדק,—,team_100,/about/moksha/,מוקש דהימן — על השם,עמוד,,,,,,,,,
סבב-2,R2-003,טרם נבדק,—,team_100,/accessibility/,הצהרת נגישות,עמוד,,,,,,,,,
סבב-2,R2-004,טרם נבדק,—,team_100,/courses-soon/,קורסים — בקרוב,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-005,טרם נבדק,—,team_100,/hashita/,השיטה,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-006,טרם נבדק,—,team_100,/historical-articles/,כתבות היסטוריות,עמוד,,,,,,,,,
סבב-2,R2-007,טרם נבדק,—,team_100,/learning/courses-external/,קורסים (סקולר / חיצוני),עמוד,,,,,,,,,
סבב-2,R2-008,טרם נבדק,—,team_100,/muzeh/,מוזה הוצאה לאור,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-009,טרם נבדק,—,team_100,/muzeh/kushi-blantis/,כושי בלאנטיס,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-010,טרם נבדק,—,team_100,/muzeh/tsva-bechol-ve-zorek-layam/,צבע בכחול וזרוק לים,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-011,טרם נבדק,—,team_100,/muzeh/vekatavt/,וכתבת,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-012,טרם נבדק,—,team_100,/muzza/,מוזה הוצאה לאור,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-013,טרם נבדק,—,team_100,/muzza/tsva-bechol-ve-zorek-layam/,צבע בכחול וזרוק לים,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-014,טרם נבדק,—,team_100,/muzza/vekatavt/,וכתבת,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-015,טרם נבדק,—,team_100,/press/,עיתונות,עמוד,,,,,,,,,
סבב-2,R2-016,טרם נבדק,—,team_100,/privacy/,מדיניות פרטיות,עמוד,,,,,,,,,
סבב-2,R2-017,טרם נבדק,—,team_100,/services/,שירותים,עמוד,,,,,,,,,
סבב-2,R2-018,טרם נבדק,—,team_100,/services/didgeridoo-lessons/,שיעורי דיג'רידו / נגינה,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-019,טרם נבדק,—,team_100,/services/didgeridoo-treatment-breath/,טיפול בדיג'רידו / נשימה,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-020,טרם נבדק,—,team_100,/services/handmade-instruments/,כלים בעבודת יד ואביזרים,legacy/301,,,,,,"מפנה (HTTP 301) — אימות יעד ה-301 בלבד, לא עריכת תוכן.",,,
סבב-2,R2-021,טרם נבדק,—,team_100,/shows-heritage/,הופעות / מורשת מופע,עמוד,,,,,,,,,
סבב-2,R2-022,טרם נבדק,—,team_100,/terms/,תקנון,עמוד,,,,,,,,,
סבב-2,R2-023,טרם נבדק,—,team_100,/thank-you/,תודה,עמוד,,,,,,,,,
סבב-2,R2-024,טרם נבדק,—,team_100,/tools-and-accessories/,כלים ואביזרים,עמוד,,,,,,,,,
סבב-2,R2-025,טרם נבדק,—,team_100,/tools-and-accessories/instruments/,כלים בעבודת יד ואביזרים,עמוד,,,,,,,,,
סבב-2,R2-026,טרם נבדק,—,team_100,/tools-and-accessories/repair/,תיקון וחידוש כלים,עמוד,,,,,,,,,
סבב-2,R2-027,טרם נבדק,—,team_100,/%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%aa%d7%95%d7%a4%d7%a2%d7%aa-%d7%99%d7%97%d7%99%d7%93-%d7%9e%d7%95%d7%a4%d7%a2-%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-spoken-stories-15/,"מופע ""ספיישל ברצלונה""! 29.12.16 תיאטרון הידית פרדס חנה / אייל עמית – תופעת יחיד – מופע סיפורים – spoken stories",פוסט,,,,,,,,,
סבב-2,R2-028,טרם נבדק,—,team_100,/%d7%90%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%9c%d7%90-%d7%aa%d7%9e%d7%a6%d7%90%d7%95-%d7%91%d7%a8%d7%a9%d7%aa%d7%95%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8%d7%99%d7%9d/,את הספר החדש שלי לא תמצאו ברשתות הספרים. למה?,פוסט,,,,,,,,,
סבב-2,R2-029,טרם נבדק,—,team_100,/%d7%91%d7%99%d7%a7%d7%95%d7%a8%d7%95%d7%aa-%d7%92%d7%95%d7%9c%d7%a9%d7%99%d7%9d-%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4/,ביקורות גולשים אודות: עכשיו!!!!! – מופע הסיפורים של אייל עמית – תופעת יחיד,פוסט,,,,,,,,,
סבב-2,R2-030,טרם נבדק,—,team_100,/%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a4%d7%a8%d7%93%d7%a1-%d7%97%d7%a0%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%99%d7%95-%d7%9c%d7%91%d7%a0%d7%99%d7%99%d7%94-%d7%95%d7%a0%d7%92%d7%99%d7%a0/,נשימה מעגלית – סטודיו דיג'רידו לנגינה ובנייה בפרדס חנה – אייל עמית. פוסט מ 2012,פוסט,,,,,,,,,
סבב-2,R2-031,טרם נבדק,—,team_100,/%d7%93%d7%a3-%d7%a4%d7%99%d7%99%d7%a1%d7%91%d7%95%d7%a7-%d7%97%d7%93%d7%a9-%d7%9c%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%a9%d7%a0%d7%99-%d7%94%d7%9e%d7%95%d7%a4%d7%a2%d7%99/,"דף פייסבוק חדש למופע + הזמנה לשני המופעים הקרובים בת""א ובפרדס חנה",פוסט,,,,,,,,,
סבב-2,R2-032,טרם נבדק,—,team_100,/%d7%94%d7%96%d7%9e%d7%a0%d7%94-%d7%9c%d7%94%d7%a9%d7%a7%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%95%d7%9b%d7%aa%d7%91%d7%aa%d6%b8-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,"הזמנה להשקת הספר החדש – ""וכתבתָ"" / אייל עמית 15.6.17 בפרדס חנה",פוסט,,,,,,,,,
סבב-2,R2-033,טרם נבדק,—,team_100,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%90%d7%99%d7%9a-%d7%94%d7%aa%d7%97%d7%9c%d7%aa%d7%99-%d7%9c%d7%9b%d7%aa%d7%95%d7%91-%d7%95%d7%9c%d7%a1%d7%a4/,אקדח לתוך הראש,פוסט,,,,,,,,,
סבב-2,R2-034,טרם נבדק,—,team_100,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%94%d7%97%d7%93%d7%a9-%d7%a9%d7%9c%d7%99-%d7%96%d7%a7%d7%95%d7%a7-%d7%9c/,הספר החדש שלי יוצא לאור!!!! אשמח לתמיכתכם ב-הדסטארט!,פוסט,,,,,,,,,
סבב-2,R2-035,טרם נבדק,—,team_100,/%d7%94%d7%98%d7%95%d7%a8-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-24-%d7%99%d7%9c%d7%93-%d7%90%d7%a1%d7%95%d7%a8-%d7%99%d7%9c%d7%93-%d7%9e%d7%95%d7%aa%d7%a8/,(24) הטור של אייל עמית: ילד אסור ילד מותר,פוסט,,,,,,,,,
סבב-2,R2-036,טרם נבדק,—,team_100,/%d7%95%d7%a1%d7%99%d7%a4%d7%a8%d7%aa%d6%b8%d6%bc-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%a4%d7%95%d7%a7%d7%9f-%d7%a1%d7%98%d7%95%d7%a8%d7%99%d7%96-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e/,וסיפרתָּ – מופע פרידה!!! 14.10.17 מועדון היוניקורן פרדס חנה | מופע הספוקן סטוריז של אייל עמית,פוסט,,,,,,,,,
סבב-2,R2-037,טרם נבדק,—,team_100,/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%91%d7%90%d7%9e%d7%a6%d7%a2%d7%95%d7%aa-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%9c%d7%9c%d7%9e%d7%95%d7%93-%d7%9c/,טיפול בנשימה באמצעות דיג'רידו – ללמוד לנשום נכון ביומיום וגם בלילה,פוסט,,,,,,,,,
סבב-2,R2-038,טרם נבדק,—,team_100,/%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%91%d7%a4%d7%95%d7%a1%d7%98-%d7%98%d7%a8%d7%90%d7%95%d7%9e%d7%94-%d7%9c%d7%97%d7%99%d7%99%d7%9c-%d7%9e%d7%a9%d7%95%d7%97%d7%a8%d7%a8-%d7%9e%d7%92%d7%95%d7%9c%d7%a0/,טיפול בפוסט טראומה לחייל משוחרר מגולני באמצעות נשימה בדיג'רידו – המרכז לטיפול בדיג'רידו / אייל עמית,פוסט,,,,,,,,,
סבב-2,R2-039,טרם נבדק,—,team_100,/%d7%9b%d7%aa%d7%91%d7%94-%d7%90%d7%95%d7%93%d7%95%d7%aa-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%9e%d7%95%d7%a8%d7%94-%d7%95%d7%9e%d7%98%d7%a4%d7%9c-%d7%91%d7%93%d7%99%d7%92%d7%a8%d7%99/,שליחות חיי – כתבה אודות המרכז לטיפול בדיג'רידו פרדס חנה – אייל עמית,פוסט,,,,,,,,,
סבב-2,R2-040,טרם נבדק,—,team_100,/%d7%9b%d7%aa%d7%91%d7%94-%d7%a2%d7%9c-%d7%aa%d7%95%d7%a4%d7%a2%d7%aa-%d7%99%d7%97%d7%99%d7%93-%d7%91-%d7%94%d7%9e%d7%a7%d7%95%d7%9e%d7%95%d7%9f-%d7%92%d7%91%d7%a2%d7%aa%d7%99%d7%99%d7%9d-%d7%a8/,"כתבה על ""תופעת יחיד"" ב- המקומון גבעתיים רמת גן, 22.10.15, מני פרסול",פוסט,,,,,,,,,
סבב-2,R2-041,טרם נבדק,—,team_100,/%d7%9c%d7%90-%d7%91%d7%a2%d7%95%d7%93-%d7%a8%d7%92%d7%a2-%d7%9c%d7%90-%d7%91%d7%a2%d7%95%d7%93-%d7%a9%d7%a0%d7%99%d7%99%d7%94-%d7%a2-%d7%9b-%d7%a9-%d7%99-%d7%95/,"שם חדש למופע הסיפורים: ""עכשיו!!!!!""  קבלו את שלושת הקליפים הרישמיים עם ה-""עכשווים"" שלכם!",פוסט,,,,,,,,,
סבב-2,R2-042,טרם נבדק,—,team_100,/%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%9b%d7%aa%d7%91%d7%94-%d7%9e%d7%90%d7%aa-%d7%a8%d7%95/,מופע הסיפורים של אייל עמית / כתבה מאת רואי פרסול – מעריב תרבות 21.7.15,פוסט,,,,,,,,,
סבב-2,R2-043,טרם נבדק,—,team_100,/%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%a9%d7%99%d7%a9%d7%99-23-10-15-%d7%91%d7%aa%d7%99%d7%90/,מופע הסיפורים של אייל עמית מגיע לתיאטרון הקאמרי!,פוסט,,,,,,,,,
סבב-2,R2-044,טרם נבדק,—,team_100,/%d7%9e%d7%95%d7%a7%d7%a9-%d7%93%d7%94%d7%99%d7%9e%d7%9f-%d7%9e%d7%90%d7%a1%d7%98%d7%a8-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a6%d7%99%d7%95%d7%a8-%d7%9e%d7%a7%d7%95%d7%a8%d7%99-%d7%97/,מוקש דהימן – מאסטר דיג'רידו – ציור מקורי חדש במרכז לטיפול בדיג'רידו (שמן על קנבס),פוסט,,,,,,,,,
סבב-2,R2-045,טרם נבדק,—,team_100,/%d7%9e%d7%95%d7%a8%d7%94-%d7%9c%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%9e%d7%95%d7%93%d7%94-%d7%9c%d7%9e%d7%95%d7%a8%d7%99%d7%95-%d7%aa%d7%9c%d7%9e%d7%99%d7%93%d7%99%d7%95-%d7%95%d7%9e%d7%98/,"פוסט תודה למורי, לתלמידי, למטופלי, ויותר מכל לתסריטאי המופרע שיושב לו שם למעלה",פוסט,,,,,,,,,
סבב-2,R2-046,טרם נבדק,—,team_100,/%d7%a0%d7%a9%d7%99%d7%9d-%d7%9e%d7%a0%d7%92%d7%a0%d7%95%d7%aa-%d7%91%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%90%d7%99%d7%a9%d7%94-%d7%9e%d7%a0%d7%92%d7%a0%d7%aa-%d7%91%d7%93%d7%99%d7%92/,האם לנשים מותר לנגן בדיג'רידו? פוסט מיוחד לסילוק דעות קדומות והחשש מעקרות,פוסט,,,,,,,,,
סבב-2,R2-047,טרם נבדק,—,team_100,/%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%9e%d7%a2%d7%92%d7%9c%d7%99%d7%aa-%d7%91%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%98%d7%99%d7%a4%d7%95%d7%9c-%d7%a8%d7%99%d7%a4%d7%95%d7%99-%d7%a2%d7%a6/,נגינה ונשימה מעגלית בדיג'רידו – ריפוי הנשימה והנשמה,פוסט,,,,,,,,,
סבב-2,R2-048,טרם נבדק,—,team_100,/%d7%a1%d7%93%d7%a0%d7%aa-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%a7%d7%91%d7%95%d7%a6%d7%aa%d7%99%d7%aa-%d7%9e%d7%a7%d7%99%d7%a4%d7%94-%d7%95%d7%99%d7%99%d7%97%d7%95%d7%93%d7%99%d7%aa-%d7%9c/,סדנת דיג'רידו קבוצתית מקיפה וייחודית לנשימה מעגלית בדיג'רידו (רמת מתחילים),פוסט,,,,,,,,,
סבב-2,R2-049,טרם נבדק,—,team_100,/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%9e%d7%94%d7%a0%d7%99%d7%99%d7%a8-%d7%a2%d7%9d-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa/,"הזמנה לסדרת מפגשים אינטימיים חדשה! ""סיפורים מהנייר"" עם אייל עמית",פוסט,,,,,,,,,
סבב-2,R2-050,טרם נבדק,—,team_100,/%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%9e%d7%94%d7%97%d7%99%d7%99%d7%9d-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99/,"סרטים מהחיים – מופע הסיפורים של אייל עמית: שני תאריכים קרובים: 5.4.14 תיאטרון הידית פרדס חנה, 10.4.14 צוותא2 ת""א.",פוסט,,,,,,,,,
סבב-2,R2-051,טרם נבדק,—,team_100,/%d7%a2%d7%95%d7%93-%d7%a8%d7%92%d7%a2-%d7%9e%d7%97%d7%99%d7%99%d7%95-%d7%a9%d7%9c-%d7%9e%d7%95%d7%a8%d7%94-%d7%9c%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95/,עוד רגע מחייו של מורה לנשימה נכונה ומלווה תהליכי ריפוי באמצעות דיג'רידו,פוסט,,,,,,,,,
סבב-2,R2-052,טרם נבדק,—,team_100,/%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%94%d7%95%d7%a4%d7%a2%d7%94-%d7%91%d7%9e%d7%95%d7%a6%d7%a9-%d7%94%d7%a7%d7%a8%d7%95%d7%91-13-9-14-%d7%91%d7%a4%d7%a8%d7%93%d7%a1-%d7%97%d7%a0%d7%94/,"""פרדס חפלה"" – הסיפור החדש במופע הקרוב 13.9.14 בפרדס חנה",פוסט,,,,,,,,,
סבב-2,R2-053,טרם נבדק,—,team_100,/%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-%d7%aa%d7%95%d7%a4%d7%a2/,"שמרו התאריכים! תופעת יחיד: 11/11/16 פסטיבל נאטראז', 22/12/16 בית ציוני אמריקה, 29/12/16 תיאטרון הידית",פוסט,,,,,,,,,
סבב-2,R2-054,טרם נבדק,—,team_100,/%d7%a2%d7%9b%d7%a9%d7%99%d7%95-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-15-11-14-%d7%91%d7%aa/,עכשיו!!!! מופע הסיפורים של אייל עמית – 15.11.14 בתיאטרון הידית פרדס חנה,פוסט,,,,,,,,,
סבב-2,R2-055,טרם נבדק,—,team_100,/%d7%a2%d7%9e%d7%99%d7%aa-%d7%91%d7%99%d6%b8%d7%93%d6%b4%d7%99%d7%aa-%d7%9e%d7%95%d7%a4%d7%a2-%d7%94%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%9c-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99/,הופעת בכורה בתל אביב!!! 3/12/13  'סרטים מהחיים' – מופע הסיפורים של אייל עמית,פוסט,,,,,,,,,
סבב-2,R2-056,טרם נבדק,—,team_100,/%d7%a4%d7%95%d7%93%d7%a7%d7%90%d7%a1%d7%98-%d7%93%d7%99%d7%92%d7%a8%d7%99%d7%93%d7%95-%d7%95-%d7%a0%d7%a9%d7%99%d7%9e%d7%94-%d7%90%d7%99%d7%99%d7%9c-%d7%a2%d7%9e%d7%99%d7%aa-2/,"צלילים מרפאים, תדרים מרפאים, סאונד הילינג דיג'רידו – אייל עמית",פוסט,,,,,,,,,
