file,line,selector,raw_value,computed_px_1440,computed_px_390,font_weight,font_family_token,role_guess,status
assets/css/ea-atoms.css,533,.ea-cta-pill,0.78rem,12.48,12.48,300,--ea-font,button,LIVE
assets/css/ea-atoms.css,620,.ea-section-intro__heading,2rem,32.0,32.0,200,--ea-font,section-title,ORPHAN
assets/css/ea-atoms.css,629,.ea-section-intro__body,1.05rem,16.8,16.8,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,655,.ea-content-section__heading,2rem,32.0,32.0,200,--ea-font,section-title,ORPHAN
assets/css/ea-atoms.css,664,.ea-content-section__subheading,0.92rem,14.72,14.72,400,--ea-font,section-title,ORPHAN
assets/css/ea-atoms.css,672,.ea-content-section__body p,0.9rem,14.4,14.4,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,687,.ea-content-section__body li,0.9rem,14.4,14.4,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,711,.ea-pillar__label,0.58rem,9.28,9.28,200,--ea-font,button,ORPHAN
assets/css/ea-atoms.css,721,.ea-pillar__title,0.92rem,14.72,14.72,400,--ea-font,button,ORPHAN
assets/css/ea-atoms.css,729,.ea-pillar__text,0.9rem,14.4,14.4,300,--ea-font,button,ORPHAN
assets/css/ea-atoms.css,754,.ea-service-comparison__heading,2rem,32.0,32.0,200,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,775,.ea-service-comparison__col-title,0.92rem,14.72,14.72,400,--ea-font,title,ORPHAN
assets/css/ea-atoms.css,788,.ea-service-comparison__list li,0.9rem,14.4,14.4,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,801,.ea-service-comparison__note,0.78rem,12.48,12.48,200,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,820,.ea-testimonials-section__heading,2rem,32.0,32.0,200,--ea-font,section-title,ORPHAN
assets/css/ea-atoms.css,874,.ea-testimonial-card__text,0.9rem,14.4,14.4,300,--ea-font,card-title,ORPHAN
assets/css/ea-atoms.css,888,.ea-testimonial-card__name,0.78rem,12.48,12.48,300,(none),testimonial,ORPHAN
assets/css/ea-atoms.css,893,.ea-testimonial-card__hint,0.7rem,11.2,11.2,inherit,(none),testimonial,ORPHAN
assets/css/ea-atoms.css,913,.ea-books-section__heading,2rem,32.0,32.0,200,--ea-font,section-title,ORPHAN
assets/css/ea-atoms.css,921,.ea-books-section__intro,0.9rem,14.4,14.4,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,958,.ea-book-card__cover-placeholder,0.78rem,12.48,12.48,inherit,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,974,.ea-book-card__title,0.92rem,14.72,14.72,400,--ea-font,card-title,ORPHAN
assets/css/ea-atoms.css,982,.ea-book-card__teaser,0.78rem,12.48,12.48,300,--ea-font,card-title,ORPHAN
assets/css/ea-atoms.css,1002,.ea-services-section__heading,2rem,32.0,32.0,200,--ea-font,section-title,ORPHAN
assets/css/ea-atoms.css,1033,.ea-service-tile__label,0.58rem,9.28,9.28,200,--ea-font,label,ORPHAN
assets/css/ea-atoms.css,1042,.ea-service-tile__title,0.92rem,14.72,14.72,400,--ea-font,title,ORPHAN
assets/css/ea-atoms.css,1050,.ea-service-tile__desc,0.9rem,14.4,14.4,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1070,.ea-faq-mini-section__heading,2rem,32.0,32.0,200,--ea-font,section-title,ORPHAN
assets/css/ea-atoms.css,1103,.ea-faq-item__question,1rem,16.0,16.0,400,--ea-font,faq,LIVE
assets/css/ea-atoms.css,1123,.ea-faq-item__answer p,1rem,16.0,16.0,300,--ea-font,faq,LIVE
assets/css/ea-atoms.css,1158,.ea-contact-section__heading,2rem,32.0,32.0,200,--ea-font,section-title,LIVE
assets/css/ea-atoms.css,1166,.ea-contact-section__body,1.05rem,16.8,16.8,300,--ea-font,body,LIVE
assets/css/ea-atoms.css,1176,.ea-whatsapp-float,0.95rem,15.2,15.2,700,--ea-font,body,LIVE
assets/css/ea-atoms.css,1260,.ea-contact-points li,1.15rem,18.4,18.4,500,--ea-font,body,LIVE
assets/css/ea-atoms.css,1286,.ea-contact-nap__h,1.3rem,20.8,20.8,500,--ea-font,body,LIVE
assets/css/ea-atoms.css,1293,.ea-contact-nap__row,0.95rem,15.2,15.2,300,--ea-font,body,LIVE
assets/css/ea-atoms.css,1306,.ea-contact-form__label,0.78rem,12.48,12.48,300,--ea-font,label,ORPHAN
assets/css/ea-atoms.css,1315,".ea-contact-form__input, .ea-contact-form__select, .ea-contact-form__textarea",0.9rem,14.4,14.4,300,--ea-font,form,ORPHAN
assets/css/ea-atoms.css,1348,.ea-contact-form__error,0.78rem,12.48,12.48,inherit,--ea-font,form,ORPHAN
assets/css/ea-atoms.css,1355,.ea-contact-form__status,0.9rem,14.4,14.4,inherit,--ea-font,form,ORPHAN
assets/css/ea-atoms.css,1362,.ea-contact-form__note,0.78rem,12.48,12.48,inherit,--ea-font,form,ORPHAN
assets/css/ea-atoms.css,1388,.ea-contact-form--cf7 .ea-cf7-row > label,0,,,inherit,(none),label,LIVE
assets/css/ea-atoms.css,1398,".ea-contact-form--cf7 .wpcf7-form-control.wpcf7-text, .ea-contact-form--cf7 .wpcf7-form-control.wpcf7-select, .ea-contact-form--cf7 .wpcf7-form-control.wpcf7-textarea",0.9rem,14.4,14.4,300,--ea-font,form,LIVE
assets/css/ea-atoms.css,1452,.ea-contact-form--cf7 .wpcf7-submit,0.95rem,15.2,15.2,400,--ea-font,form,LIVE
assets/css/ea-atoms.css,1476,.ea-contact-form--cf7 .wpcf7-not-valid-tip,0.78rem,12.48,12.48,inherit,--ea-font,form,ORPHAN
assets/css/ea-atoms.css,1483,.ea-contact-form--cf7 .wpcf7-response-output,0.9rem,14.4,14.4,inherit,--ea-font,form,LIVE
assets/css/ea-atoms.css,1533,.ea-bio-block__heading,2rem,32.0,32.0,200,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1541,.ea-bio-block__text,0.9rem,14.4,14.4,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1562,.ea-footer__brand,1.2rem,19.2,19.2,200,--ea-font,footer,ORPHAN
assets/css/ea-atoms.css,1569,.ea-footer__tagline,0.78rem,12.48,12.48,300,--ea-font,footer,ORPHAN
assets/css/ea-atoms.css,1576,.ea-footer__location,0.72rem,11.52,11.52,400,--ea-font,footer,ORPHAN
assets/css/ea-atoms.css,1621,.ea-footer__nav-link,0.78rem,12.48,12.48,300,--ea-font,nav,ORPHAN
assets/css/ea-atoms.css,1634,.ea-footer__copy,0.78rem,12.48,12.48,300,--ea-font,footer,ORPHAN
assets/css/ea-atoms.css,1688,".ea-section-intro__heading, .ea-content-section__heading, .ea-bio-block__heading, .ea-testimonials-section__heading, .ea-books-section__heading, .ea-services-section__heading, .ea-faq-mini-section__heading, .ea-contact-section__heading, .ea-service-comparison__heading",1.4rem,22.4,22.4,inherit,(none),section-title,LIVE
assets/css/ea-atoms.css,1753,.ea-section__heading,2rem,32.0,32.0,200,--ea-font,section-title,ORPHAN
assets/css/ea-atoms.css,1761,.ea-section__list,0.95rem,15.2,15.2,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1775,".ea-section--prose .ea-section__inner > p, .ea-book-prose p",0.95rem,15.2,15.2,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1791,.ea-book-prose h3,1.05rem,16.8,16.8,400,--ea-font,title,ORPHAN
assets/css/ea-atoms.css,1827,.ea-book-hero__back,0.78rem,12.48,12.48,300,--ea-font,hero-title,ORPHAN
assets/css/ea-atoms.css,1837,.ea-book-hero__title,3rem,48.0,48.0,200,--ea-font,hero-title,ORPHAN
assets/css/ea-atoms.css,1846,.ea-book-hero__subtitle,1.05rem,16.8,16.8,300,--ea-font,hero-title,ORPHAN
assets/css/ea-atoms.css,1865,.ea-book-excerpt__toggle,0.92rem,14.72,14.72,400,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1895,.ea-book-midcta__text,1.05rem,16.8,16.8,300,--ea-font,button,ORPHAN
assets/css/ea-atoms.css,1920,.ea-bundle__title,2rem,32.0,32.0,200,--ea-font,title,ORPHAN
assets/css/ea-atoms.css,1928,.ea-bundle__price,1.1rem,17.6,17.6,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1936,.ea-bundle__price strong,1.4rem,22.4,22.4,500,(none),body,ORPHAN
assets/css/ea-atoms.css,1944,.ea-bundle__desc,0.95rem,15.2,15.2,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1952,.ea-bundle__note,0.82rem,13.12,13.12,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1965,.ea-book-gallery__label,0.58rem,9.28,9.28,200,--ea-font,label,ORPHAN
assets/css/ea-atoms.css,1992,.ea-book-gallery__text,0.72rem,11.52,11.52,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,1998,.ea-book-gallery__note,0.72rem,11.52,11.52,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,2008,.ea-book-hero__title,2.1rem,33.6,33.6,inherit,(none),hero-title,ORPHAN
assets/css/ea-atoms.css,2010,".ea-section__heading, .ea-bundle__title",1.6rem,25.6,25.6,inherit,(none),section-title,ORPHAN
assets/css/ea-atoms.css,2032,.ea-contact-page-intro__sub,1.05rem,16.8,16.8,300,--ea-font,body,ORPHAN
assets/css/ea-atoms.css,2061,.ea-faq-list__filter-label,0.78rem,12.48,12.48,300,--ea-font,faq,ORPHAN
assets/css/ea-atoms.css,2068,.ea-faq-list__filter-select,0.9rem,14.4,14.4,300,--ea-font,faq,ORPHAN
assets/css/ea-atoms.css,2086,.ea-faq-list__filter-count,0.78rem,12.48,12.48,inherit,--ea-font,faq,ORPHAN
assets/css/ea-atoms.css,2094,.ea-faq-category__heading,1.4rem,22.4,22.4,200,--ea-font,faq,LIVE
assets/css/ea-mobile-nav.css,69,.ea-mnav-burger,1.15rem,18.4,18.4,inherit,(none),nav,ORPHAN
assets/css/ea-mobile-nav.css,80,.ea-mnav-pill,0.68rem,10.88,10.88,300,(none),nav,ORPHAN
assets/css/ea-mobile-nav.css,133,.ea-mnav-drawer__brand,1.05rem,16.8,16.8,200,(none),nav,ORPHAN
assets/css/ea-mobile-nav.css,137,.ea-mnav-close,1.4rem,22.4,22.4,inherit,(none),nav,ORPHAN
assets/css/ea-mobile-nav.css,150,".ea-mnav-link, .ea-mnav-acc__btn",1.02rem,16.32,16.32,300,--ea-font,nav,ORPHAN
assets/css/ea-mobile-nav.css,167,.ea-mnav-link__ext,0.7rem,11.2,11.2,200,(none),nav,ORPHAN
assets/css/ea-mobile-nav.css,170,.ea-mnav-acc__caret,0.8rem,12.8,12.8,inherit,(none),nav,ORPHAN
assets/css/ea-mobile-nav.css,183,.ea-mnav-sublink,0.92rem,14.72,14.72,300,--ea-font,nav,ORPHAN
assets/css/ea-mobile-nav.css,202,.ea-mnav-foot__links a,0.74rem,11.84,11.84,300,(none),nav,ORPHAN
assets/css/ea-mobile-nav.css,226,.ea-cfoot__brand,1.2rem,19.2,19.2,200,(none),footer,ORPHAN
assets/css/ea-mobile-nav.css,227,.ea-cfoot__tag,.8rem,12.8,12.8,300,(none),footer,ORPHAN
assets/css/ea-mobile-nav.css,228,.ea-cfoot__loc,.7rem,11.2,11.2,400,(none),footer,ORPHAN
assets/css/ea-mobile-nav.css,229,.ea-cfoot__head,.62rem,9.92,9.92,400,(none),footer,ORPHAN
assets/css/ea-mobile-nav.css,231,.ea-cfoot__list a,.82rem,13.12,13.12,300,(none),footer,ORPHAN
assets/css/ea-mobile-nav.css,234,.ea-cfoot__copy,.76rem,12.16,12.16,300,(none),footer,ORPHAN
assets/css/ea-mobile-variants.css,53,.ea-shop-grid .ea-book-card__title,0.86rem,13.76,13.76,inherit,(none),card-title,ORPHAN
assets/css/ea-mobile-variants.css,54,.ea-shop-grid .ea-book-card__teaser,0.74rem,11.84,11.84,inherit,(none),card-title,ORPHAN
assets/css/ea-mobile-variants.css,55,.ea-shop-grid .ea-book-card__cover-placeholder,0.66rem,10.56,10.56,inherit,(none),body,ORPHAN
assets/css/ea-mobile-variants.css,60,"html[data-shop=""1col""] .ea-shop-grid .ea-book-card__title",0.92rem,14.72,14.72,inherit,(none),card-title,ORPHAN
assets/css/ea-mobile-variants.css,61,"html[data-shop=""1col""] .ea-shop-grid .ea-book-card__teaser",0.78rem,12.48,12.48,inherit,(none),card-title,ORPHAN
assets/css/home-front.css,299,body.ea-home-dashboard .ea-home-front .ea-home-section > h2,1.15rem,18.4,18.4,inherit,(none),section-title,ORPHAN
assets/css/home-front.css,310,body.ea-home-dashboard .ea-home-front .ea-home-section-lead--compact,0.95rem,15.2,15.2,inherit,(none),lead,ORPHAN
assets/css/home-front.css,316,body.ea-home-dashboard .ea-home-front .ea-home-video-block .ea-home-video-placeholder,0.9rem,14.4,14.4,inherit,(none),body,ORPHAN
assets/css/home-front.css,329,body.ea-home-dashboard .ea-home-front .ea-home-video-caption,0.9rem,14.4,14.4,inherit,(none),caption,ORPHAN
assets/css/home-front.css,377,body.ea-home-dashboard .ea-home-front .ea-home-faq-short .ea-home-faq-item p,0.92rem,14.72,14.72,inherit,(none),faq,ORPHAN
assets/css/home-front.css,395,body.ea-home-dashboard .ea-home-front .ea-home-cta-bottom__title,1.2rem,19.2,19.2,inherit,(none),button,ORPHAN
assets/css/home-front.css,406,body.ea-home-dashboard .ea-home-front .ea-home-cta-bottom__hint,0.88rem,14.08,14.08,inherit,(none),button,ORPHAN
assets/css/home-front.css,413,body.ea-home-dashboard .ea-home-front .ea-home-testimonials-sub,1rem,16.0,16.0,600,(none),testimonial,ORPHAN
assets/css/home-front.css,428,body.ea-home-dashboard .ea-home-front .ea-home-quote p,0.95rem,15.2,15.2,inherit,(none),body,ORPHAN
assets/css/home-front.css,434,body.ea-home-dashboard .ea-home-front .ea-home-placeholder-tag,0.78rem,12.48,12.48,inherit,(none),tag,ORPHAN
assets/css/home-front.css,506,.ea-mediarow__ph span,0.74rem,11.84,11.84,300,(none),body,ORPHAN
assets/css/home-front.css,585,.ea-testimonials-section--rotator .ea-testimonial-card__text,1.2rem,19.2,19.2,200,(none),card-title,ORPHAN
assets/css/home-front.css,636,.ea-testimonials-section--rotator .ea-testimonial-card__text,1.05rem,16.8,16.8,inherit,(none),card-title,ORPHAN
