wp_id,title,slug_or_path,modified,url_live_placeholder,content_owner,lock_url,notes
15000,qr31 - פיפי במעלית,qr31,2017-06-18 03:14:06,https://www.eyalamit.co.il/qr31/,Eyal,YES — printed QR,
15002,qr32 - נשימה מעגלית,qr32,2024-09-12 11:53:25,https://www.eyalamit.co.il/qr32/,Eyal,YES — printed QR,
15013,"qr33 - תאכלו ביצים, תהיו טייסים",qr33,2017-06-18 03:24:50,https://www.eyalamit.co.il/qr33/,Eyal,YES — printed QR,
15019,qr34 - תקום,qr34,2017-06-18 03:26:22,https://www.eyalamit.co.il/qr34/,Eyal,YES — printed QR,
15021,qr35 - הגבר החדש,qr35,2017-06-18 03:29:07,https://www.eyalamit.co.il/qr35/,Eyal,YES — printed QR,
15023,qr36 - חוני המעגל,qr36,2017-06-18 03:30:26,https://www.eyalamit.co.il/qr36/,Eyal,YES — printed QR,
15025,qr37 - דרך השלום,qr37,2017-06-18 03:32:53,https://www.eyalamit.co.il/qr37/,Eyal,YES — printed QR,
15027,qr38 - הבטחות או לא להיות,qr38,2017-06-18 03:33:49,https://www.eyalamit.co.il/qr38/,Eyal,YES — printed QR,
15029,qr39 - תחשוב חיובי,qr39,2017-06-18 03:34:35,https://www.eyalamit.co.il/qr39/,Eyal,YES — printed QR,
14916,qr4 - בום-בום-בום על דלתי מרום,qr4,2017-06-18 01:58:10,https://www.eyalamit.co.il/qr4/,Eyal,YES — printed QR,
15031,qr40 - אבנים חמות,qr40,2017-06-18 03:35:29,https://www.eyalamit.co.il/qr40/,Eyal,YES — printed QR,
15033,qr41 - לופ בטעם תות לימון,qr41,2017-06-18 03:35:57,https://www.eyalamit.co.il/qr41/,Eyal,YES — printed QR,
15037,qr42 - הבטחות אחים,qr42,2017-06-18 03:39:57,https://www.eyalamit.co.il/qr42/,Eyal,YES — printed QR,
15039,qr43 - עכשיו!!!,qr43,2017-06-18 03:41:06,https://www.eyalamit.co.il/qr43/,Eyal,YES — printed QR,
15041,qr44 - כולנו פרעושים,qr44,2017-06-18 03:44:12,https://www.eyalamit.co.il/qr44/,Eyal,YES — printed QR,
15043,qr45 - צום מיצים,qr45,2017-06-18 03:45:17,https://www.eyalamit.co.il/qr45/,Eyal,YES — printed QR,
15045,qr46  - האומץ לאהוב את הפחד,qr46,2017-06-18 03:47:03,https://www.eyalamit.co.il/qr46/,Eyal,YES — printed QR,
15047,qr47  - טיפול זוגי,qr47,2017-06-18 03:49:00,https://www.eyalamit.co.il/qr47/,Eyal,YES — printed QR,
15965,qr48 -וסיימת,qr48,2017-10-31 22:46:24,https://www.eyalamit.co.il/qr48/,Eyal,YES — printed QR,
14923,qr5 - אלכסון הוא אסון,qr5,2017-06-18 01:59:13,https://www.eyalamit.co.il/qr5/,Eyal,YES — printed QR,
14931,qr6 - ספיבאק,qr6,2017-06-18 01:10:11,https://www.eyalamit.co.il/qr6/,Eyal,YES — printed QR,
14933,qr7 - אחד לשלושה,qr7,2017-06-18 02:00:38,https://www.eyalamit.co.il/qr7/,Eyal,YES — printed QR,
14935,qr8 - סופה במדבר,qr8,2017-06-18 02:01:29,https://www.eyalamit.co.il/qr8/,Eyal,YES — printed QR,
14937,qr9 - טיפול שורש,qr9,2017-06-18 02:04:35,https://www.eyalamit.co.il/qr9/,Eyal,YES — printed QR,
14854,והקדמת - qr1,qr1,2017-05-22 16:45:06,https://www.eyalamit.co.il/qr1/,Eyal,YES — printed QR,
